"territoire";"latitude";"longitude"
"Beni Territoire";"0.41125";"29.54905"
"Beni Ville";"0.50645";"29.46365"
"Bukavu";"-2.50640";"28.84193"
"Butembo";"0.13928";"29.28544"
"Goma ";"-1.64459";"29.18716"
"Idjwi";"-2.10274";"29.04936"
"Kabare";"-2.44160";"28.63473"
"Kalehe";"-2.03653";"28.68369"
"Lubero";"-0.00359";"28.82284"
"Masisi";"-1.40601";"28.85033"
"Nyiragongo";"-1.53381";"29.27764"
"Rutshuru";"-1.02645";"29.34009"
"Uvira";"-3.21647";"29.01734"
"Walikale";"-1.09674";"28.16645"
"Walungu";"-2.71278";"28.66773"
